air_temperature,process_temperature,rotational_speed,torque,tool_wear,machine_failure
301.52,311.01,1521.15,45.57,90.69,1
294.8,304.2,1607.89,45.77,235.6,1
303.75,312.36,1323.33,44.5,63.8,0
304.7,315.56,1465.76,42.64,208.74,1
290.24,300.71,1599.5,42.48,224.21,1
293.49,300.31,1507.87,41.67,183.97,0
300.64,307.34,1676.08,42.45,53.67,0
298.42,309.27,1310.89,42.85,65.09,0
299.92,308.29,1297.2,31.57,242.78,0
295.73,306.34,1592.36,35.26,18.96,0
304.4,315.96,1603.9,33.83,29.27,0
303.89,311.35,1476.81,46.64,244.64,1
300.33,307.51,1548.05,49.92,194.22,1
305.64,318.99,1589.42,26.99,186.6,1
302.34,313.04,1402.34,49.39,40.05,0
295.7,304.87,1415.18,40.52,122.23,0
301.84,309.98,1522.77,46.08,210.19,1
295.21,304.18,1608.49,43.04,82.22,0
304.39,312.01,1360.09,48.64,48.19,1
299.75,311.52,1476.25,41.26,2.74,0
299.08,307.52,1470.69,31.82,155.64,1
296.6,308.78,1550.16,39.37,73.45,0
306.11,315.31,1498.96,43.09,215.92,1
299.23,307.14,1434.49,38.7,70.88,0
297.86,307.01,1649.83,43.95,37.89,0
298.24,302.99,1435.29,39.61,240.11,1
302.66,312.42,1464.95,36.43,241.19,1
301.83,311.49,1309.02,33.48,171.26,0
302.06,313.71,1414.36,37.65,232.1,1
302.15,308.38,1561.93,41.23,40.46,0
310.71,323.03,1538.47,28.24,115.09,0
297.97,309.61,1571.94,35.32,51.04,0
297.44,309.94,1566.12,28.02,119.7,0
295.93,305.83,1750.53,36.3,197.79,1
303.08,315.11,1410.26,47.18,211.23,1
305.64,312.7,1305.67,32.88,1.04,0
299.43,310.86,1373.93,44.22,97.38,0
295.8,304.26,1415.56,57.09,248.52,1
295.88,302.57,1383.08,48.72,147.33,0
303.25,311.0,1511.24,40.8,74.05,0
303.72,313.73,1650.32,45.15,97.25,1
302.72,311.07,1684.76,31.78,80.64,0
296.67,307.42,1560.52,30.56,111.9,0
301.16,307.54,1756.95,40.17,111.12,1
300.58,306.33,1457.24,42.39,126.72,0
301.09,313.84,1304.1,46.57,116.13,0
304.36,316.16,1626.38,36.59,129.03,1
301.12,309.02,1279.37,41.16,7.0,0
303.39,313.39,1409.4,40.95,13.61,0
300.34,312.38,1562.41,39.21,92.79,1
301.45,312.28,1487.71,39.57,221.24,1
303.16,313.45,1477.09,34.87,197.71,1
292.71,304.9,1358.31,41.68,27.54,0
298.4,306.94,1498.7,41.17,123.71,0
297.65,307.71,1620.44,37.36,151.15,1
296.81,306.77,1502.4,43.99,120.3,0
298.62,308.08,1400.37,46.17,174.39,1
307.47,316.7,1350.3,44.06,249.32,1
295.67,305.82,1402.85,33.75,24.12,0
304.84,314.91,1547.08,40.6,128.88,1
291.59,299.49,1541.23,34.53,128.09,1
298.33,309.93,1403.94,40.58,140.59,0
300.81,308.86,1234.71,34.55,41.74,0
302.93,312.49,1550.4,47.66,159.59,1
303.56,312.97,1392.28,44.7,11.09,0
303.97,314.68,1582.69,46.92,185.28,1
298.26,304.02,1409.27,46.31,165.79,1
297.69,309.47,1381.45,38.38,82.61,0
304.29,312.94,1518.38,37.45,247.25,1
299.04,311.48,1782.92,50.45,207.19,1
293.62,302.67,1589.88,39.01,134.88,1
294.33,304.24,1516.35,31.87,247.63,0
295.4,309.23,1543.06,46.04,207.52,1
302.49,311.93,1289.87,40.86,34.49,0
300.71,313.19,1365.32,49.04,147.77,1
303.45,313.53,1198.69,41.46,145.21,0
297.86,308.69,1707.58,39.88,163.24,1
300.79,310.93,1683.29,49.16,235.19,1
303.13,314.82,1547.14,30.77,123.01,0
298.45,307.08,1516.21,36.49,19.35,0
302.28,310.32,1313.81,34.68,119.83,0
296.69,305.41,1473.68,26.83,196.95,1
298.18,308.38,1715.09,45.24,89.65,1
298.09,307.65,1515.77,36.66,6.78,0
294.02,305.44,1432.24,45.43,75.81,0
302.43,315.04,1289.03,42.33,170.54,0
297.65,305.7,1665.64,43.64,21.5,1
300.06,308.59,1491.59,37.27,93.99,0
302.4,309.53,1289.19,35.41,33.28,0
302.23,316.29,1389.09,40.54,118.98,0
303.33,313.94,1346.7,45.52,35.38,0
299.51,310.47,1484.19,39.7,27.26,0
297.88,305.2,1524.88,35.79,174.45,0
299.6,309.6,1439.61,32.81,39.5,0
291.56,302.58,1593.25,41.22,38.7,0
292.76,302.26,1509.46,36.68,148.13,0
293.39,305.54,1627.48,39.57,10.9,0
295.01,309.64,1457.14,38.57,8.25,0
302.0,310.1,1865.44,37.33,107.86,1
295.47,303.43,1432.26,41.76,91.27,0
298.11,306.35,1391.6,43.33,136.15,0
306.5,319.71,1376.84,51.79,248.37,1
298.22,310.3,1474.69,44.55,108.68,0
303.69,313.42,1293.66,49.56,144.01,1
295.33,305.41,1535.35,35.09,229.81,1
298.97,307.34,1271.36,30.39,120.79,0
295.25,307.03,1519.4,39.91,195.28,0
298.3,307.55,1337.85,45.15,137.16,0
304.2,313.68,1454.24,44.21,159.3,1
291.36,302.58,1572.54,47.27,233.13,1
302.17,311.8,1776.48,24.78,0.18,0
301.19,310.72,1370.64,47.52,225.23,0
297.03,307.05,1481.96,42.01,124.42,0
292.77,304.36,1413.15,30.74,151.69,0
300.36,313.65,1395.62,44.34,112.51,0
297.35,308.52,1414.2,41.02,65.23,0
301.16,312.77,1598.89,42.29,16.5,0
300.11,309.71,1441.43,45.99,236.28,1
308.01,316.59,1769.92,42.58,155.97,1
298.8,310.11,1549.92,31.16,218.37,1
294.88,305.22,1378.8,39.14,72.7,0
300.9,308.05,1456.0,30.29,69.5,0
301.1,310.44,1403.78,43.89,83.95,1
306.8,316.63,1596.01,48.39,57.76,1
304.18,313.15,1303.35,32.55,124.49,0
301.78,314.75,1339.09,35.97,234.06,0
307.32,318.28,1429.01,34.71,219.02,0
294.06,306.8,1581.95,37.28,123.78,0
296.8,307.33,1647.97,42.47,87.19,1
295.37,305.53,1665.67,37.34,152.92,0
298.05,306.18,1563.58,43.92,153.06,0
293.12,303.14,1490.05,46.39,170.94,0
303.18,313.2,1595.36,46.61,133.9,1
298.89,306.15,1362.66,33.29,6.69,0
292.65,301.57,1278.64,48.32,19.01,0
294.92,304.28,1552.4,48.8,243.44,1
301.57,312.39,1379.32,49.32,186.56,0
304.19,315.11,1492.16,39.05,237.06,1
309.98,318.82,1514.36,35.49,84.88,0
314.57,325.51,1529.77,34.09,133.74,1
302.07,311.71,1612.53,33.39,80.49,0
295.05,299.31,1599.85,40.07,227.23,1
289.34,298.37,1523.4,45.09,71.93,0
301.34,313.5,1446.96,47.84,173.45,1
295.94,302.57,1512.93,37.09,43.76,0
297.92,308.15,1428.45,39.77,26.31,0
296.94,310.11,1476.43,39.37,38.91,0
299.3,307.77,1814.18,36.19,132.36,1
305.33,315.33,1521.86,44.41,211.14,1
300.79,308.18,1554.03,42.18,249.82,1
299.21,312.46,1415.34,40.85,155.67,0
294.82,304.66,1622.41,42.15,133.4,0
291.63,301.72,1591.23,43.69,196.72,0
297.57,310.28,1592.08,43.63,15.94,0
299.73,311.05,1525.79,34.97,202.35,0
308.84,317.09,1624.1,45.38,189.59,1
300.65,309.36,1652.6,41.53,132.39,1
304.91,315.9,1533.97,37.39,5.75,0
297.5,306.26,1486.25,41.41,50.55,0
294.08,299.84,1607.35,42.07,92.43,0
295.17,305.07,1391.5,46.49,235.31,1
296.37,303.41,1413.84,33.72,159.62,0
310.64,323.87,1493.6,47.95,127.52,1
295.89,306.25,1291.04,40.14,122.11,0
304.19,312.38,1599.31,36.96,194.99,1
295.49,304.09,1384.45,36.78,80.91,0
304.66,310.88,1443.42,33.99,23.63,0
301.92,309.73,1474.41,29.55,169.26,0
299.22,311.25,1504.71,44.06,82.25,0
299.8,314.26,1458.76,51.89,81.4,0
296.73,308.18,1491.92,30.29,113.68,0
302.23,312.05,1492.84,34.3,60.68,0
297.73,306.86,1446.36,44.51,230.43,1
293.87,301.96,1407.22,39.73,211.74,0
293.61,307.73,1629.78,45.01,247.77,1
300.86,310.49,1247.47,39.39,241.14,0
307.9,322.13,1475.31,36.52,78.61,0
300.8,313.59,1443.73,38.64,95.15,0
299.41,305.93,1550.25,25.71,174.56,1
301.43,310.1,1325.48,33.14,3.96,0
306.53,315.19,1440.03,45.69,248.47,1
301.1,310.94,1487.72,47.15,2.71,0
297.95,307.82,1628.41,48.44,132.87,0
305.53,321.52,1539.86,42.65,167.18,1
302.14,309.99,1357.98,26.46,228.54,0
307.68,318.14,1441.5,36.19,161.03,1
300.92,312.15,1606.33,47.95,149.24,1
293.88,303.87,1355.91,49.74,75.09,0
293.16,303.38,1490.56,48.18,147.73,1
308.25,316.17,1498.91,38.58,187.43,0
308.62,318.83,1453.71,32.16,128.9,0
299.1,310.13,1823.49,39.76,194.91,1
298.08,308.74,1450.47,40.09,17.4,0
307.31,318.45,1553.97,49.39,83.84,1
294.46,307.29,1408.04,41.37,239.95,1
295.53,307.4,1563.33,40.1,80.86,0
303.22,313.36,1604.49,40.44,155.46,1
298.03,305.68,1429.44,42.4,129.97,0
299.97,308.77,1493.44,43.76,234.16,1
299.18,308.74,1392.57,35.65,40.69,0
301.69,312.19,1362.67,33.65,74.85,0
307.04,316.08,1624.42,48.22,215.59,1
300.45,308.58,1433.52,30.15,166.55,0
303.22,310.84,1210.37,49.83,135.76,0
289.75,296.45,1711.84,28.54,98.73,0
299.76,309.29,1403.75,36.49,102.83,1
295.78,302.84,1470.44,45.83,233.73,1
293.91,301.9,1696.91,40.0,167.77,1
295.61,304.82,1482.99,32.1,232.27,1
298.33,305.66,1480.4,42.56,243.05,1
304.58,315.34,1352.62,40.4,136.75,1
293.37,304.85,1303.82,38.7,152.47,0
300.15,309.05,1480.03,36.26,164.09,0
297.58,306.71,1543.54,39.79,209.79,1
298.36,309.44,1536.66,36.51,164.77,1
305.01,313.59,1442.25,54.61,28.66,1
302.69,311.13,1502.43,38.56,235.61,0
306.69,319.08,1279.53,37.76,165.23,0
299.23,311.0,1555.22,36.75,217.48,1
296.52,307.72,1519.37,50.66,106.18,1
298.88,310.73,1736.84,30.17,118.68,0
301.21,307.26,1500.9,42.16,172.21,0
300.88,313.59,1386.88,38.56,194.1,1
294.58,305.36,1493.91,31.46,19.61,0
300.45,312.47,1460.66,35.09,101.84,0
301.14,311.92,1552.16,41.9,192.46,1
312.59,322.69,1503.23,34.81,248.06,1
309.38,318.83,1348.81,41.56,2.91,0
295.73,306.47,1303.71,50.37,66.2,0
298.56,307.94,1531.55,41.02,116.21,0
292.68,304.42,1665.97,31.28,55.74,0
297.05,303.87,1509.52,34.92,6.73,0
301.58,310.49,1597.6,38.29,134.89,1
306.03,320.12,1621.54,37.89,162.35,1
296.35,305.1,1532.02,40.91,104.02,1
296.73,306.25,1402.26,41.87,92.47,0
289.26,297.5,1523.44,50.38,246.4,1
299.19,309.86,1644.85,39.98,119.38,1
294.69,303.22,1563.59,33.09,199.52,1
297.35,306.98,1589.79,46.92,71.79,1
295.62,307.31,1444.49,47.58,207.55,1
299.53,308.13,1475.72,41.39,205.92,1
291.21,302.79,1485.75,38.52,66.93,0
292.66,304.31,1493.84,43.74,163.96,1
310.65,322.76,1640.15,38.73,170.5,1
293.56,303.84,1218.34,27.67,110.65,0
294.52,311.0,1503.66,43.38,193.45,1
309.18,321.29,1490.46,45.35,76.72,0
314.53,325.18,1335.42,48.65,121.07,1
294.14,302.39,1580.61,35.62,247.54,1
298.16,307.96,1413.06,41.36,44.67,0
301.71,314.56,1457.16,41.49,36.95,0
308.64,322.06,1721.85,40.51,35.55,1
295.07,308.02,1621.2,40.69,249.53,1
298.77,310.34,1568.94,40.22,39.98,1
303.89,311.38,1545.69,41.27,47.56,0
302.17,313.15,1480.24,44.44,173.7,1
298.12,305.64,1739.93,47.32,189.87,1
299.33,306.36,1596.26,35.46,131.77,0
293.13,303.6,1410.05,38.97,245.67,0
298.81,309.86,1331.99,37.46,9.73,0
298.67,310.47,1568.02,36.61,155.21,1
301.16,312.16,1493.3,30.3,151.62,0
297.22,308.29,1328.53,40.15,80.31,0
302.36,310.39,1551.43,42.88,224.86,1
305.06,314.85,1467.72,39.07,138.22,0
300.78,307.76,1563.68,39.95,61.59,0
